condition: 1 = control,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist
1,1,1,2,36,,1,,35,,0.206622388,0.368,0.006292969,-0.006424013,,,2.032346468,,,2,,0.180250158,0.322,0.025272936,0.02323337,,,2.032346468
1,1,1,2,37,,1,,36,,0.216297351,0.414,0.014558142,0.004969144,,,2.032346468,,,2,,0.184158638,0.368,-0.000351443,-0.011456163,,,2.032346468
1,1,1,2,38,,1,,37,,0.209499852,0.368,-0.004033012,-0.015998907,,,2.215653447,,,2,,0.182345607,0.368,-0.001782963,-0.006265085,,,2.215653447
1,1,1,2,39,,1,,38,,0.20791601,0.368,-0.011027789,-0.012100847,,,2.307348308,,,2,,0.181255119,0.368,-0.004699374,-0.007301266,,,2.307348308
1,1,1,2,40,,1,,39,,0.228257657,0.414,-0.014439612,-0.041814847,,,2.301839311,,,2,,0.21735423,0.368,0.010338858,-0.001855505,,,2.301839311
1,1,1,2,41,,1,,40,,0.232224449,0.46,0.019393207,-0.00903383,,,2.208000044,,,2,,0.206917026,0.368,-0.028337801,-0.044261591,,,2.208000044
1,1,1,2,42,,1,,41,,0.222962704,0.322,0.012240859,-0.00543483,,,2.117999098,,,2,,0.17523634,0.322,0.023027548,0.017572474,,,2.117999098
1,1,1,2,43,,1,,42,,0.197421628,0.368,0.010107626,-0.002107956,,,2.301839311,,,2,,0.165407955,0.276,0.019121986,0.013908979,,,2.301839311
1,1,1,2,44,,1,,43,,0.178662213,0.322,-0.016134408,-0.022295347,,,2.48400005,,,2,,0.177041451,0.322,0.043609314,0.03856726,,,2.48400005
1,1,1,2,45,,1,,44,,0.220977564,0.414,0.009204131,-0.002250294,,,2.58256312,,,2,,0.186329092,0.368,0.002251143,-0.007892349,,,2.58256312
1,1,1,2,46,,1,,45,,0.202139537,0.322,0.041789251,0.02006782,,,2.682237925,,,2,,0.178015608,0.322,0.001149518,-0.012023964,,,2.682237925
1,1,1,2,47,,1,,46,,0.210392234,0.368,-0.000730017,-0.028880948,,,2.766126589,,,2,,0.198006748,0.414,0.001981163,-0.005790804,,,2.766126589
1,1,1,2,48,,1,,47,,0.213802937,0.368,-0.012442238,-0.022964083,,,2.773765727,,,2,,0.188124734,0.368,0.020281077,0.015249491,,,2.773765727
1,1,1,2,49,,1,,48,,0.197771346,0.322,-0.005426615,-0.011745179,,,2.79807082,,,2,,0.180704499,0.368,0.037314136,0.035885165,,,2.79807082
1,1,1,2,50,,1,,49,,0.240192581,0.368,0.02348761,0.012763483,,,2.616749181,,,2,,0.204204869,0.368,0.017974724,0.010699359,,,2.616749181
1,1,1,2,51,,1,,50,,0.241986547,0.414,0.023487781,0.023231992,,,2.165422866,,,2,,0.206282776,0.368,0.012526441,0.005629504,,,2.165422866
1,1,1,2,52,,1,,51,,0.234690989,0.368,0.0168783,-0.008272276,,,2.042731545,,,2,,0.187884715,0.368,0.025169634,0.018487328,,,2.042731545
1,1,1,2,53,,1,,52,,0.220364826,0.368,0.04262562,0.028950883,,,1.966735405,,,2,,0.167575901,0.414,-0.021144473,-0.022578704,,,1.966735405
1,1,1,2,54,,1,,53,,0.213627527,0.368,0.006894891,-0.014503952,,,2.05718258,,,2,,0.196930441,0.368,0.007641265,0.003096846,,,2.05718258
1,1,1,2,55,,1,,54,,0.215752916,0.322,0.007493044,-0.008473196,,,2.147761668,,,2,,0.200085321,0.414,0.004439315,-0.004127133,,,2.147761668
1,1,1,2,56,,1,,55,,0.223333356,0.414,0.008727528,0.005712674,,,2.255407769,,,2,,0.187193932,0.414,-0.018883825,-0.021516527,,,2.255407769
1,1,1,2,57,,1,,56,,0.222776997,0.368,0.001502314,-0.011600479,,,2.544594321,,,2,,0.179170677,0.414,0.001494642,0.002769774,,,2.544594321
1,1,2,1,2,,1,,1,,0.166404756,0.276,0.03460639,0.034354014,,,1.383063294,,,2,,0.161384865,0.276,0.036564995,0.03326908,,,1.383063294
1,1,2,1,3,,1,,2,,0.205507853,0.322,-0.004516035,-0.006243053,,,1.566703577,,,2,,0.167844899,0.368,0.010519997,0.011012007,,,1.566703577
1,1,2,1,4,,1,,3,,0.182529164,0.23,0.043592142,0.04620932,,,1.934189275,,,2,,0.160086699,0.322,0.015083833,0.013532642,,,1.934189275
1,1,2,1,5,,1,,4,,0.167115585,0.276,0.012304509,0.011472021,,,2.208000044,,,2,,0.172682682,0.322,0.030875369,0.028605029,,,2.208000044
1,1,2,1,6,,1,,5,,0.172337418,0.276,0.016868989,0.01231243,,,2.20991588,,,2,,0.18257084,0.368,0.009226235,-0.002389008,,,2.20991588
1,1,2,1,7,,1,,6,,0.194557723,0.368,0.043964749,0.034062393,,,2.301839311,,,2,,0.18603283,0.414,0.035636606,0.037137915,,,2.301839311
1,1,2,1,8,,1,,7,,0.199882796,0.414,0.004535665,-0.002927638,,,2.392000048,,,2,,0.187212649,0.414,0.025265829,0.013211671,,,2.392000048
1,1,2,1,9,,1,,8,,0.185957337,0.368,0.012424998,-0.007784397,,,2.48570317,,,2,,0.20834068,0.414,0.010956001,0.00589318,,,2.48570317
1,1,2,1,10,,1,,9,,0.205671917,0.322,0.000216115,-0.011705936,,,2.48400005,,,2,,0.225132945,0.414,0.024178153,0.017496702,,,2.48400005
1,1,2,1,11,,1,,10,,0.269310449,0.414,0.016113577,0.007772293,,,2.392000048,,,2,,0.242061252,0.46,0.015500631,0.030160726,,,2.392000048
1,1,2,1,12,,1,,11,,0.191299807,0.276,0.012899091,0.011629831,,,1.842298601,,,2,,0.18677948,0.368,0.01427185,0.014924552,,,1.842298601
1,1,2,1,13,,1,,12,,0.20946817,0.276,0.013935151,0.008316055,,,1.383063294,,,2,,0.177631327,0.322,0.023814331,0.024049657,,,1.383063294
1,1,2,1,14,,1,,13,,0.17726332,0.276,0.022958675,0.026223547,,,1.383063294,,,2,,0.163955172,0.276,0.023418038,0.019160865,,,1.383063294
1,1,2,1,15,,1,,14,,0.183639953,0.322,0.02537071,0.023275004,,,1.666190899,,,2,,0.171410918,0.322,0.046750577,0.043689367,,,1.666190899
1,1,2,1,16,,1,,15,,0.178691453,0.322,0.005525159,0.007925248,,,1.842298601,,,2,,0.179668102,0.414,0.015327289,0.013853416,,,1.842298601
1,1,2,1,17,,1,,16,,0.172051306,0.276,0.032793313,0.031369598,,,2.116000042,,,2,,0.176914053,0.368,-0.00616698,-0.007755551,,,2.116000042
1,1,2,1,18,,1,,17,,0.210817276,0.276,0.017335244,0.006093468,,,2.20991588,,,2,,0.173761883,0.368,0.025417902,0.026148195,,,2.20991588
1,1,2,1,19,,1,,18,,0.180399314,0.322,0.029111288,0.037070464,,,2.301839311,,,2,,0.172516692,0.368,0.008225986,0.004956699,,,2.301839311
1,1,2,1,20,,1,,19,,0.193106,0.322,0.009208265,0.008745345,,,2.399066533,,,2,,0.170992629,0.322,0.023311746,0.02237837,,,2.399066533
1,1,2,1,21,,1,,20,,0.194738111,0.322,0.035495458,0.037260211,,,2.420142193,,,2,,0.17925493,0.414,0.012785887,0.013907132,,,2.420142193
1,1,2,1,22,,1,,21,,0.205728481,0.322,0.019109195,0.031345036,,,2.407870477,,,2,,0.179278502,0.322,0.030125093,0.036524312,,,2.407870477
1,1,2,1,23,,1,,22,,0.178132024,0.276,0.015796153,0.014600513,,,2.329254004,,,2,,0.17280384,0.322,0.018692326,0.018354469,,,2.329254004
1,1,2,1,24,,1,,23,,0.176689339,0.322,-0.000806051,-0.002243071,,,2.225183183,,,2,,0.164212653,0.368,0.015987501,0.008803365,,,2.225183183
1,1,2,1,25,,1,,24,,0.171804616,0.276,0.018460923,0.018624723,,,2.02400004,,,2,,0.163915257,0.368,0.032314726,0.033333733,,,2.02400004
1,1,2,1,26,,1,,25,,0.174564808,0.276,0.022255357,0.026905809,,,1.748000035,,,2,,0.175566335,0.322,0.03698806,0.035609573,,,1.748000035
1,1,2,1,27,,1,,26,,0.198332063,0.322,0.030670057,0.028218593,,,1.757657567,,,2,,0.171157789,0.322,0.040651082,0.039251142,,,1.757657567
1,1,2,1,28,,1,,27,,0.191738868,0.322,0.001370727,-0.00445662,,,2.026089871,,,2,,0.173219779,0.368,0.008382254,0.00669011,,,2.026089871
1,1,2,1,29,,1,,28,,0.224223164,0.368,0.012284109,0.013926965,,,2.20991588,,,2,,0.193732561,0.414,0.009471013,0.00607688,,,2.20991588
1,1,2,1,30,,1,,29,,0.199254403,0.322,0.015457853,0.014779532,,,2.399066533,,,2,,0.173750624,0.368,0.011743834,0.010648402,,,2.399066533
1,1,2,1,31,,1,,30,,0.21971167,0.414,0.038705447,0.042933368,,,2.58256312,,,2,,0.201844453,0.414,0.017132964,0.007458528,,,2.58256312
1,1,2,1,32,,1,,31,,0.202730106,0.368,0.032432314,0.023777583,,,2.773765727,,,2,,0.183424796,0.414,0.003343369,-0.005727914,,,2.773765727
1,1,2,1,33,,1,,32,,0.205035161,0.368,0.026838441,0.018148959,,,2.857929377,,,2,,0.21528465,0.46,0.002502525,-0.008796273,,,2.857929377
1,1,2,1,34,,1,,33,,0.199752167,0.322,0.004252106,-0.005014204,,,2.865323774,,,2,,0.189851731,0.46,-0.007336983,-0.013265748,,,2.865323774
1,1,2,1,35,,1,,34,,0.18955583,0.368,0.005240639,0.003082862,,,2.490805542,,,2,,0.182504306,0.46,0.003380321,0.003806164,,,2.490805542
1,1,2,1,36,,1,,35,,0.184658196,0.322,0.03967604,0.040989384,,,2.032346468,,,2,,0.181778108,0.368,0.017179776,0.017475805,,,2.032346468
1,1,2,1,37,,1,,36,,0.184242484,0.322,0.014306949,0.020247365,,,1.750419413,,,2,,0.171698262,0.368,0.010628378,0.011445243,,,1.750419413
1,1,2,1,38,,1,,37,,0.193328185,0.276,0.045692337,0.040066181,,,1.750419413,,,2,,0.167815295,0.368,0.017872173,0.017291363,,,1.750419413
1,1,2,1,39,,1,,38,,0.197206339,0.322,0.008584872,0.001741345,,,1.849177151,,,2,,0.175520331,0.368,0.028192484,0.029459355,,,1.849177151
1,1,2,1,40,,1,,39,,0.171782643,0.276,0.027960137,0.035503147,,,2.208000044,,,2,,0.175711766,0.368,0.011018031,0.015370449,,,2.208000044
1,1,2,1,41,,1,,40,,0.18899334,0.322,0.027270298,0.026342884,,,2.48400005,,,2,,0.195618339,0.414,0.033317317,0.031539684,,,2.48400005
1,1,2,1,42,,1,,41,,0.18717656,0.276,0.035858905,0.031316067,,,2.668000053,,,2,,0.186278176,0.368,0.028821186,0.032939038,,,2.668000053
1,1,2,1,43,,1,,42,,0.185476518,0.23,0.040332919,0.025980861,,,2.760000055,,,2,,0.165425771,0.322,0.032241348,0.031751403,,,2.760000055
1,1,2,1,44,,1,,43,,0.183003841,0.23,0.016201425,0.009380512,,,2.852000057,,,2,,0.16789137,0.368,0.015202419,0.012677816,,,2.852000057
1,1,2,1,45,,1,,44,,0.191092322,0.322,0.02345528,0.022277865,,,2.761532963,,,2,,0.188325116,0.368,0.031341223,0.027142779,,,2.761532963
1,1,2,1,46,,1,,45,,0.190011464,0.276,0.034118586,0.03775386,,,2.761532963,,,2,,0.177911006,0.368,0.035814327,0.033030531,,,2.761532963
1,1,2,1,47,,1,,46,,0.18190286,0.23,0.030089809,0.03250307,,,2.399066533,,,2,,0.172477121,0.322,0.013187754,0.01268773,,,2.399066533
1,1,2,1,48,,1,,47,,0.185349377,0.23,0.066103406,0.05272028,,,2.301839311,,,2,,0.169942153,0.276,0.032320231,0.031472748,,,2.301839311
1,1,2,1,49,,1,,48,,0.176572948,0.23,0.014653947,0.015838216,,,2.225183183,,,2,,0.168992918,0.276,0.025493934,0.025648038,,,2.225183183
1,1,2,1,50,,1,,49,,0.189525347,0.23,0.03837781,0.034952987,,,2.399066533,,,2,,0.172585444,0.322,0.0230709,0.021355381,,,2.399066533
1,1,2,1,51,,1,,50,,0.183987944,0.23,0.00445297,0.000498582,,,2.435829271,,,2,,0.184082192,0.368,0.004255316,0.000378509,,,2.435829271
1,1,2,1,52,,1,,51,,0.186691585,0.23,0.015678761,0.009187574,,,2.407870477,,,2,,0.170131369,0.368,0.009806277,0.005284679,,,2.407870477
1,1,2,1,53,,1,,52,,0.178294678,0.276,0.027365708,0.029582821,,,2.499286348,,,2,,0.173523485,0.322,0.012887145,0.01419369,,,2.499286348
