condition: 2 = TSA,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,
2,1,1,1,58,,1,,57,,0.222543855,0.322,0.024566885,0.022613395,,,1.769655369,,,2,,0.211237737,0.322,0.02812708,0.02338868,,,1.769655369
2,1,1,1,59,,1,,58,,0.233237684,0.368,-0.013251824,-0.016329791,,,1.564000031,,,2,,0.213268859,0.322,0.017827822,0.03508925,,,1.564000031
2,1,1,1,60,,1,,59,,0.231214985,0.368,0.01386467,0.013779095,,,1.769655369,,,2,,0.216666092,0.322,0.009553574,0.010464372,,,1.769655369
2,1,1,1,61,,1,,60,,0.219102607,0.322,0.018585553,0.007988218,,,1.851464322,,,2,,0.208695076,0.322,0.034717956,0.036356031,,,1.851464322
2,1,1,1,62,,1,,61,,0.21261476,0.414,0.003324769,-0.009727032,,,1.894395984,,,2,,0.195177519,0.322,0.020895843,0.022134152,,,1.894395984
2,1,1,1,63,,1,,62,,0.206348789,0.322,0.020653549,0.019055571,,,1.940742165,,,2,,0.195322399,0.368,0.009074499,0.008300701,,,1.940742165
2,1,1,1,64,,1,,63,,0.239590166,0.414,0.010035718,-0.010467062,,,1.862858057,,,2,,0.233819178,0.368,0.028526583,0.011368122,,,1.862858057
2,1,1,1,65,,1,,64,,0.270250798,0.414,0.011053929,0.013741694,,,1.711298956,,,2,,0.249098989,0.414,0.008161028,0.014568282,,,1.711298956
2,1,1,1,66,,1,,65,,0.227382903,0.368,0.020090261,0.021521627,,,1.65855362,,,2,,0.213946408,0.368,0.025736671,0.034947414,,,1.65855362
2,1,1,2,2,,1,,1,,0.235103252,0.46,0.053666813,0.063866761,,,1.656000033,,,2,,0.236922068,0.368,0.034925712,0.032377774,,,1.656000033
2,1,1,2,3,,1,,2,,0.183921373,0.368,0.035429123,0.03363381,,,2.026089871,,,2,,0.194134202,0.368,0.003084118,-0.000818123,,,2.026089871
2,1,1,2,4,,1,,3,,0.186612713,0.414,0.011248465,0.002753762,,,2.301839311,,,2,,0.182719721,0.322,0.032317528,0.031549361,,,2.301839311
2,1,1,2,5,,1,,4,,0.190263351,0.414,0.036952479,0.029396577,,,2.399066533,,,2,,0.192747504,0.368,0.003186677,0.00448178,,,2.399066533
2,1,1,2,6,,1,,5,,0.192091356,0.414,0.008369371,0.000272485,,,2.392000048,,,2,,0.209825083,0.368,0.01804205,0.024990026,,,2.392000048
2,1,1,2,7,,1,,6,,0.219687501,0.506,0.049602715,0.04807895,,,2.117999098,,,2,,0.205639616,0.368,0.021072621,0.019016731,,,2.117999098
2,1,1,2,8,,1,,7,,0.187998536,0.414,0.024603429,0.030252185,,,1.757657567,,,2,,0.213690392,0.368,0.025838008,0.030151422,,,1.757657567
2,1,1,2,9,,1,,8,,0.194997691,0.368,0.052747425,0.062468602,,,1.842298601,,,2,,0.200420353,0.414,0.055830038,0.069615608,,,1.842298601
2,1,1,2,10,,1,,9,,0.200523492,0.368,0.055251367,0.072511217,,,1.951614755,,,2,,0.210276201,0.368,0.067830996,0.062212202,,,1.951614755
2,1,1,2,11,,1,,10,,0.199140567,0.414,0.034876349,0.042518581,,,1.849177151,,,2,,0.204907306,0.322,0.029905972,0.037726001,,,1.849177151
2,1,1,2,12,,1,,11,,0.186446555,0.368,0.05931597,0.068005938,,,1.769655369,,,2,,0.205629781,0.368,0.015527032,0.021318322,,,1.769655369
2,1,1,2,13,,1,,12,,0.184276295,0.368,0.037305345,0.042280936,,,1.849177151,,,2,,0.192761048,0.368,0.001348612,0.00317486,,,1.849177151
2,1,1,2,14,,1,,13,,0.193051892,0.368,0.020855539,0.020177675,,,1.678842492,,,2,,0.187210153,0.368,0.010842652,0.016086142,,,1.678842492
2,1,1,2,15,,1,,14,,0.185891336,0.368,0.021558585,0.023813867,,,1.65855362,,,2,,0.206625884,0.368,0.025919508,0.033027427,,,1.65855362
2,1,1,2,16,,1,,15,,0.187765453,0.414,0.002226625,0.002379057,,,1.748000035,,,2,,0.197048152,0.368,0.020766128,0.019839531,,,1.748000035
2,1,1,2,17,,1,,16,,0.186980163,0.414,-0.009855541,-0.015132867,,,2.117999098,,,2,,0.19205014,0.322,0.01713556,0.01063517,,,2.117999098
2,1,1,2,18,,1,,17,,0.183449207,0.414,-0.011373909,-0.014295255,,,2.307348308,,,2,,0.172478322,0.368,0.015589492,0.017163973,,,2.307348308
2,1,1,2,19,,1,,18,,0.179695478,0.46,0.016618343,0.015881491,,,2.577642385,,,2,,0.213015666,0.368,0.027108978,0.029921843,,,2.577642385
2,1,1,2,20,,1,,19,,0.194408212,0.46,0.035743394,0.036491805,,,2.682237925,,,2,,0.226988277,0.414,0.006611131,-0.005834067,,,2.682237925
2,1,1,2,21,,1,,20,,0.209486828,0.414,0.022167662,0.019478575,,,2.316500856,,,2,,0.227569973,0.414,0.007633746,0.002689395,,,2.316500856
2,1,1,2,22,,1,,21,,0.207417381,0.506,0.035880023,0.033521242,,,1.966735405,,,2,,0.227621716,0.368,0.045915724,0.058521399,,,1.966735405
2,1,1,2,23,,1,,22,,0.219021241,0.552,0.022766001,0.025233263,,,1.966735405,,,2,,0.239114156,0.414,0.025343305,0.00985378,,,1.966735405
2,1,1,2,24,,1,,23,,0.189946577,0.414,-0.017284403,-0.021206714,,,1.966735405,,,2,,0.206712155,0.322,0.012692519,0.012813276,,,1.966735405
2,1,1,2,25,,1,,24,,0.242394951,0.506,0.028417859,0.039876786,,,2.147761668,,,2,,0.214490169,0.414,0.040559679,0.040915405,,,2.147761668
2,1,1,2,26,,1,,25,,0.275947666,0.598,0.077466943,0.09609317,,,2.329254004,,,2,,0.229858178,0.552,0.079443776,0.094788796,,,2.329254004
2,1,1,2,27,,1,,26,,0.252551672,0.552,0.053085746,0.056420724,,,2.407870477,,,2,,0.23708801,0.46,0.024774196,0.040608944,,,2.407870477
2,1,1,2,28,,1,,27,,0.225520407,0.552,0.007966887,0.015226799,,,2.616749181,,,2,,0.241026029,0.414,0.033578364,0.019748016,,,2.616749181
2,1,1,2,29,,1,,28,,0.211894969,0.322,0.023343905,0.030111324,,,2.511111358,,,2,,0.2172934,0.414,0.021242714,0.011689052,,,2.511111358
2,1,1,2,30,,1,,29,,0.194118592,0.552,-0.051971528,-0.042978653,,,2.420142193,,,2,,0.193243596,0.368,0.030826013,0.031971683,,,2.420142193
2,1,1,2,31,,1,,30,,0.241288114,0.46,-0.037375607,-0.018370177,,,1.896628626,,,2,,0.270172556,0.46,0.034912638,0.055080527,,,1.896628626
2,1,1,2,32,,1,,31,,0.218801627,0.414,-0.016890929,-0.007972912,,,1.606710958,,,2,,0.215259036,0.414,0.021552479,0.030583958,,,1.606710958
2,1,1,2,33,,1,,32,,0.220436639,0.414,-0.064793266,-0.058943777,,,1.542201055,,,2,,0.232246808,0.368,0.037812394,0.037963004,,,1.542201055
2,1,1,2,34,,1,,33,,0.259175552,0.506,-0.043907986,-0.077988484,,,1.696396214,,,2,,0.281693222,0.506,0.007846,-0.007123736,,,1.696396214
2,1,1,2,35,,1,,34,,0.282434161,0.46,-0.021137961,-0.026920936,,,1.83308705,,,2,,0.26994195,0.46,-0.015385422,-0.022604519,,,1.83308705
2,1,1,2,36,,1,,35,,0.20047861,0.368,-0.077050164,-0.084588602,,,2.00931037,,,2,,0.226243398,0.368,-0.057541708,-0.04678693,,,2.00931037
2,1,1,2,37,,1,,36,,0.226623364,0.368,0.028074595,0.017199888,,,2.186815079,,,2,,0.24620475,0.368,0.035494932,0.032248568,,,2.186815079
2,1,1,2,38,,1,,37,,0.284331094,0.506,0.024207306,0.001685778,,,2.300000046,,,2,,0.274153595,0.46,0.010329978,-0.004475115,,,2.300000046
