condition: 1 = control 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path,,condition: 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path
2,1,1,1,1,22,/,21,TRUE,0.22814738,0.216926141,-2.498444513,0.214612309,0.785387691,FALSE,,"0.046*""""",//,1.966735405,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,22,/,21,TRUE,0.213945317,0.201755136,-2.38263778,0.134465553,0.865534447,FALSE,,"0.046*""""",//,1.966735405,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,23,/,22,TRUE,0.191541657,0.207515971,-2.128613865,0.109853243,0.890146757,FALSE,,"0.046*""""",//,1.966735405,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,23,/,22,TRUE,0.201383251,0.209565571,-2.030153073,0.1114271,0.8885729,FALSE,,"0.046*""""",//,1.966735405,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,24,/,23,TRUE,0.204115726,0.207500476,-1.243286805,0.126648541,0.873351459,FALSE,,"0.046*""""",//,1.966735405,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,24,/,23,TRUE,0.208108139,0.204782751,2.613506398,0.092973348,0.907026652,FALSE,,"0.046*""""",//,1.966735405,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,25,/,24,TRUE,0.189769836,0.211316714,-1.692668928,0.111522492,0.888477508,FALSE,,"0.046*""""",//,2.147761668,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,25,/,24,TRUE,0.189807445,0.198660682,-1.724673616,0.131406033,0.868593967,FALSE,,"0.046*""""",//,2.147761668,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,26,/,25,TRUE,0.203588365,0.227098086,-1.801519619,0.21894008,0.78105992,FALSE,,"0.046*""""",//,2.329254004,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,26,/,25,TRUE,0.216579842,0.22174655,2.586048832,0.10188684,0.89811316,FALSE,,"0.046*""""",//,2.329254004,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,27,/,26,TRUE,0.196863512,0.21797498,-2.108719806,0.165972795,0.834027205,FALSE,,"0.046*""""",//,2.407870477,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,27,/,26,TRUE,0.21035368,0.218654879,-2.088962865,0.109569737,0.890430263,FALSE,,"0.046*""""",//,2.407870477,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,28,/,27,TRUE,0.22868406,0.238548801,-2.197290764,0.096085549,0.903914451,FALSE,,"0.046*""""",//,2.616749181,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,28,/,27,TRUE,0.21819831,0.246572145,-2.580656042,0.095467272,0.904532728,FALSE,,"0.046*""""",//,2.616749181,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,29,/,28,TRUE,0.212679011,0.228532728,-2.250228067,0.093752691,0.906247309,FALSE,,"0.046*""""",//,2.511111358,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,29,/,28,TRUE,0.211878424,0.227599173,-2.545635272,0.068155686,0.931844314,FALSE,,"0.046*""""",//,2.511111358,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,30,/,29,TRUE,0.217738228,0.235042875,-2.081904685,0.163514349,0.836485651,FALSE,,"0.046*""""",//,2.420142193,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,30,/,29,TRUE,0.206999308,0.234688399,-1.705998259,0.236783751,0.763216249,FALSE,,"0.046*""""",//,2.420142193,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,31,/,30,TRUE,0.195918824,0.256916249,-1.944518338,0.281776665,0.718223335,FALSE,,"0.046*""""",//,1.896628626,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,31,/,30,TRUE,0.189824772,0.222942012,-2.005262128,0.188256994,0.811743006,FALSE,,"0.046*""""",//,1.896628626,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,32,/,31,TRUE,0.203022463,0.218972774,-2.386598361,0.150680494,0.849319506,FALSE,,"0.046*""""",//,1.606710958,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,32,/,31,TRUE,0.204716201,0.199752332,-2.041685433,0.223356291,0.776643709,FALSE,,"0.046*""""",//,1.606710958,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,33,/,32,TRUE,0.241323922,0.216100211,-2.972635948,0.219756122,0.780243878,FALSE,,"0.046*""""",//,1.542201055,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,33,/,32,TRUE,0.24045995,0.198993365,-2.983589074,0.158959696,0.841040304,FALSE,,"0.046*""""",//,1.542201055,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,34,/,33,TRUE,0.236386661,0.223523383,-2.321653935,0.212635499,0.787364501,FALSE,,"0.046*""""",//,1.696396214,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,34,/,33,TRUE,0.201670699,0.204667779,-2.35619449,0.165612481,0.834387519,FALSE,,"0.046*""""",//,1.696396214,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
