"condition","Cell index","KT pairs","KT","KT data path","ch1meanx[]","ch2meanx[]","ch1meany[]","ch2meany[]","ch1SDx[]","ch2SDx[]","ch1SDy[]","ch2SDy[]","ch1tail[]","ch2tail[]","ch1maxtail[]","ch2maxtail[]","ch1lefttailcount[]","ch1righttailcount[]","ch2lefttailcount[]","ch2righttailcount[]","sdxymovementdata[]_Normalized","sistersdxymovementdata[]_Normalized","meanspeeddata[]_Normalized","meanspeedsisterdata[]_Normalized","sdspeeddata[]_Normalized","sdspeedsisterdata[]_Normalized","sdkkdistance[]_Normalized","meankkdistance[]_Normalized","meanxlocation[]","meanylocation[]","meanzlocation[]"
1,3,11,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 3\ch1\19-12\12\(+-1)\ch1KT12.csv",0.43990986139008187,0.39245736724274505,0.4955409672996729,0.4284640057520019,0.0466667705845211,0.03722472173860439,0.04756394874455497,0.032507119087971915,"False","False",0,0,0,0,0,0,0.6258402432843141,0.6258402432843141,0.7003580893172481,0.7003580893172481,0.624823454438039,0.624823454438039,0.5281767310486989,0.8889880757891621,15.031700941026228,14.410133205601948,0.7931181279941606
1,3,11,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 3\ch1\19-12\19\(+-1)\ch1KT19.csv",0.5593445296073165,0.4706763604959039,0.4252274980356513,0.39199854708374754,0.08006569241529835,0.04752589059244655,0.025545466533995084,0.018817431287225756,"True","True",0.7092542038178696,-0.41486370311491494,1,28,1,2,0.596908321714081,0.596908321714081,0.7301252490381881,0.7301252490381881,0.6544284131383411,0.6544284131383411,0.5281767310486989,0.8889880757891621,13.137733626421205,14.364762261762005,1.0963090431858957
1,3,13,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 3\ch1\3-5\3\(+-1)\ch1KT3.csv",0.3886222916078685,0.3743373113887958,0.42606937946628903,0.3921856596786419,0.0302433768825456,0.029000619333451952,0.04438887967229506,0.035279667395023716,"False","False",0,0,0,0,0,0,1.3833704677051273,1.3833704677051273,1.1516995341032217,1.1516995341032217,1.0513873283698847,1.0513873283698847,0.6549805589476961,0.8924123249414195,13.203961482456792,5.44596733869291,1.760465378780212
1,3,13,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 3\ch1\3-5\5\(+-1)\ch1KT5.csv",0.3940564996771141,0.36398373976720677,0.41592400717959005,0.38188851776508353,0.04071550358820384,0.027311680834141448,0.025347133023175386,0.027876849632979463,"True","False",-0.45457097140395986,0,1,0,0,0,1.3936021056015495,1.3936021056015495,1.2031481160188555,1.2031481160188555,1.31542185039719,1.31542185039719,0.6549805589476961,0.8924123249414195,15.10971485892903,5.363606122729651,1.7510793273644687
1,4,3,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\15-12\12\(+-1)\ch1KT12.csv",0.5361056882781129,0.5070208290400162,0.4854217403311844,0.4452524412436898,0.08391331682922512,0.08422794378415661,0.03345989441662702,0.029212487499484158,"True","True",0.5439245881813386,-0.5720117198589179,2,3,5,0,0.89820162152381,0.89820162152381,0.8345894323300579,0.8345894323300579,0.6681528900232127,0.6681528900232127,1.1207222853852403,0.9599292455128958,11.831920419048432,13.438569254984209,0.8813933887346204
1,4,3,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\15-12\15\(+-1)\ch1KT15.csv",0.4597373602893586,0.4397483235540154,0.4052852358014068,0.3775407287166732,0.031020583226700833,0.030689485612973706,0.01922353113790149,0.017232965152208745,"False","True",0,-0.18623291754004076,0,0,3,0,1.021935088474762,1.021935088474762,0.8935526961880689,0.8935526961880689,0.9554586209110958,0.9554586209110958,1.1292757566774787,0.9607714024322754,9.112056596216277,13.315586596276027,0.6684314442106406
1,4,5,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\3-14\14\(+-1)\ch1KT14.csv",0.45023166697344214,0.44485509466261125,0.443909766791913,0.40063768979461073,0.05394331086242598,0.05077213465730724,0.028319113150863537,0.029999916139737307,"True","False",0.5233529582418512,0,0,1,0,0,0.7691694887262966,0.7691694887262966,1.087630437490469,1.087630437490469,1.0437300729905237,1.0437300729905237,0.869207565236855,0.936524704086936,13.285160618650592,6.018816309970175,1.587646563512581
1,4,5,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\3-14\3\(+-1)\ch1KT3.csv",0.4474307402625348,0.4475133156341571,0.42135741003533383,0.38313552201435186,0.033611768815792836,0.03353683954337711,0.025145997371069508,0.020246788873044697,"True","True",-0.8741582531585145,-0.639810568400274,3,0,2,0,0.7453050006083582,0.7453050006083582,0.809924070331619,0.809924070331619,0.8288605617228815,0.8288605617228815,0.869207565236855,0.936524704086936,10.66612830448019,6.195121807376783,1.7207489112078385
1,4,7,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\5-13\13\(+-1)\ch1KT13.csv",0.4042267798264892,0.3860510242613408,0.4442505036364015,0.3809157951443574,0.03657368974509264,0.028660433357653173,0.022049758668649375,0.01812631186890141,"False","False",0,0,0,0,0,0,1.2587632111948306,1.2587632111948306,1.1298824006711543,1.1298824006711543,1.2741770710034153,1.2741770710034153,1.056660203585421,1.0319566029091505,12.503528220387789,9.167160056719986,1.4451117280628911
1,4,7,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\5-13\5\(+-1)\ch1KT5.csv",0.4464312863068922,0.43582925364857106,0.45409904568546716,0.3909325971976478,0.06327803249992855,0.06059322629647233,0.03430498685076562,0.028454909972890283,"True","True",-0.7517867428434214,0.6314575013722353,3,1,0,2,1.3040111495737006,1.3040111495737006,1.08581121261971,1.08581121261971,1.2540789522345297,1.2540789522345297,1.056660203585421,1.0319566029091505,9.600029756911455,9.145020851556922,1.5658868284375698
1,4,9,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\6-4\4\(+-1)\ch1KT4.csv",0.476921928735565,0.4470322472678739,0.4062563096403902,0.3592181536009297,0.03477938978783733,0.03201499943689882,0.0264471657982641,0.021721854149530824,"True","True",-0.8073689317962254,-0.938848265961407,2,1,1,0,0.7505631835291335,0.7505631835291335,0.7071119574342966,0.7071119574342966,0.6284489563886901,0.6284489563886901,0.7328956837945559,1.0311868786358689,12.080841783835647,13.260495517664246,2.178011226148373
1,4,9,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\6-4\6\(+-1)\ch1KT6.csv",0.4627693734471204,0.4376459227591589,0.3975596930255776,0.3582706797722065,0.05858549932687185,0.041963699732377964,0.027322679298460727,0.02276597988994131,"True","False",0.4955140185016375,0,0,1,0,0,0.7215737179630151,0.7215737179630151,0.872447886983613,0.872447886983613,1.025986872522407,1.025986872522407,0.7527377605402623,1.0278410425334636,9.183383415996609,13.166776084368731,2.2496478795974806
1,4,11,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\8-7\7\(+-1)\ch1KT7.csv",0.4129605955107293,0.40730014428184885,0.4409932954020208,0.4064255645781806,0.04172322274504956,0.035940670753223006,0.029730598706238478,0.027043523912961605,"True","True",-0.1590490259056443,-0.17550729527316383,1,0,1,0,1.293739076248999,1.293739076248999,1.5578553786878033,1.5578553786878033,1.307123358579261,1.307123358579261,1.206316487978955,1.0416544084466621,14.18355894171398,10.332800360598192,1.1897664738922615
1,4,11,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 4\ch1\8-7\8\(+-1)\ch1KT8.csv",0.4903274194494141,0.5080721672357852,0.4825131472087702,0.4411802896329206,0.06114041767108801,0.06840640473920956,0.051811624242266506,0.045867140668074076,"True","True",-0.6600169694358821,-0.5073068618267056,2,4,4,1,1.2367384621570963,1.2367384621570963,1.0211945272632093,1.0211945272632093,1.0139826436239847,1.0139826436239847,1.206316487978955,1.0416544084466621,11.272509977727813,10.51300608906276,1.3513612976102933
