"condition","Cell index","KT pairs","KT","Time","move X","move Y","move Z","move interval","WidthX Ch1 (normalized)","tail or not ch1","tail direction ch1","WidthX Ch2 (normalized)","tail or not ch2","tail direction ch2","location X","location Y","location Z","frame"
1,2,5,1,1,0.12534841862279222,0.11684560620000362,0.09970358849213456,1,0.8535433724875622,"False","",0.8361135488506436,"False","",-1.2455082361795586,-0.24692495878908005,0.4301070909432505,1
1,2,5,1,2,0.11723931250763542,0.07021399106191595,0.005833177495178754,1,0.934444369604991,"False","",0.9199222227207914,"False","",-1.1201598175567664,-0.13007935258907644,0.5298106794353851,2
1,2,5,1,3,0.07988528240466941,-0.045973863292331885,0.0023319987615508797,1,1.00860666053181,"False","",0.9611975073888841,"False","",-1.002920505049131,-0.05986536152716049,0.5356438569305638,3
1,2,5,1,4,0.13485958428895906,-0.07132430327401629,-0.03403134515357353,1,1.1051262639156119,"False","",1.1272645862129778,"False","",-0.9230352226444616,-0.10583922481949237,0.5379758556921147,4
1,2,5,1,5,0.07666093540743546,-0.07479584545115969,-0.18527616228855615,1,1.0536947278141542,"False","",1.035060023685838,"False","",-0.7881756383555025,-0.17716352809350866,0.5039445105385412,5
1,2,5,1,6,0.20941772636581568,-0.0295551143093995,0.0727082859565722,1,1.0222965730227696,"False","",0.9685735323505258,"False","",-0.7115147029480671,-0.25195937354466835,0.318668348249985,6
1,2,5,1,7,0.047586017187423835,-0.09760743477387912,-0.11101247126689773,1,0.9476976043227691,"False","",0.9289666052143016,"False","",-0.5020969765822514,-0.28151448785406785,0.3913766342065572,7
1,2,5,1,8,-0.018843760273586696,0.1691596106356421,-0.13838232599206668,1,0.945785659065614,"False","",0.9917954136177508,"False","",-0.45451095939482755,-0.379121922627947,0.2803641629396595,8
1,2,5,1,9,0.09977598259606779,0.2606302990969791,-0.033590571388780965,1,0.9536155045196534,"False","",0.8851745764253978,"False","",-0.47335471966841425,-0.20996231199230486,0.1419818369475928,9
1,2,5,1,10,0.17389054453196806,0.052912232804883885,-0.13585081680187094,1,0.9359251429935012,"False","",0.8968210243543596,"False","",-0.37357873707234646,0.05066798710467424,0.10839126555881184,10
