condition,Cell index,KT pairs,KT,path,ch1meanxch2meanxch1meanych2meanych1SDx,,,,,ch2SDx,ch1SDy,ch2SDy,ch1tail,ch2tail,ch1maxtail,ch2maxtailch1lefttailcount,ch1lefttailcount,ch1righttailcount,ch2lefttailcount,ch2righttailcount,sdxymovementdata,sistersdxymovementdata,meanspeeddata,meanspeedsisterdata,sdspeeddata,sdspeedsisterdata,sdkkdistance,meankkdistance
1,4,2,1,"D:\combine0802\control\new(2)(1)\ch1\14.-3\Path from Track_14 to Track_14.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\14.-3_(+-1)_NewResult_0908XYnew.csv",0.209765183,0.207869424,0.257457877,0.241071729,0.029719443,0.033784567,0.026433725,0.035572139,TRUE,TRUE,-0.242567012,0.292231854,2,0,0,2,1.698606882,1.612693921,0.217591453,0.206649932,0.126677963,0.135234449,0.294313841,2.367315569
1,4,2,2,"D:\combine0802\control\new(2)(1)\ch1\14.-3\Path from Track_3 to Track_3.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\14.-3_(+-1)_NewResult_0908XYnew.csv",0.195317928,0.19679807,0.20540171,0.188797843,0.012017742,0.012114102,0.012104235,0.011117698,TRUE,FALSE,-0.081366438,0,1,0,0,0,1.612693921,1.698606882,0.206649932,0.217591453,0.135234449,0.126677963,0.294313841,2.367315569
1,4,3,1,"D:\combine0802\control\new(2)(1)\ch1\2.-11\Path from Track_11 to Track_11.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\2.-11_(+-1)_NewResult_0908XYnew.csv",0.265172256,0.235450986,0.217831597,0.197409177,0.042488058,0.022074152,0.020163555,0.011476153,TRUE,TRUE,0.407458203,0.456655165,4,20,0,14,1.31630444,1.457746058,0.178942019,0.18954362,0.088603493,0.117473391,0.294204286,2.934320385
1,4,3,2,"D:\combine0802\control\new(2)(1)\ch1\2.-11\Path from Track_2 to Track_2.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\2.-11_(+-1)_NewResult_0908XYnew.csv",0.188827367,0.183102679,0.22202007,0.205514442,0.010352039,0.011865616,0.020406957,0.014560712,TRUE,FALSE,-0.32026043,0,1,0,0,0,1.457746058,1.31630444,0.18954362,0.178942019,0.117473391,0.088603493,0.294204286,2.934320385
1,4,4,1,"D:\combine0802\control\new(2)(1)\ch1\5.-1\Path from Track_1 to Track_1.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\5.-1_(+-1)_NewResult_0908XYnew.csv",0.196002056,0.201633947,0.190225286,0.188426511,0.01357492,0.018380792,0.007711622,0.011760549,FALSE,FALSE,0,0,0,0,0,0,1.613596564,1.525590231,0.225508394,0.238204134,0.14622114,0.15014182,0.286823526,2.302989219
1,4,5,1,"D:\combine0802\control\new(2)(1)\ch1\7.-20\Path from Track_20 to Track_20.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-20_(+-1)_NewResult_0908XYnew.csv",0.188929696,0.183382896,0.214618722,0.195295296,0.015876482,0.013408967,0.010711862,0.010530379,FALSE,FALSE,0,0,0,0,0,0,1.560702188,1.766869935,0.205275546,0.22294749,0.083586063,0.122312964,0.385347024,2.267667728
1,4,5,2,"D:\combine0802\control\new(2)(1)\ch1\7.-20\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-20_(+-1)_NewResult_0908XYnew.csv",0.201983087,0.19117725,0.193601217,0.178712217,0.014210133,0.009322174,0.010615593,0.009372304,FALSE,FALSE,0,0,0,0,0,0,1.766869935,1.560702188,0.22294749,0.205275546,0.122312964,0.083586063,0.385347024,2.267667728
1,5,1,1,"D:\combine0802\control\new(2)(1) -new\ch1\12.-11\Path from Track_11 to Track_11.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\12.-11_(+-1)_NewResult_0908XYnew.csv",0.188720379,0.195366144,0.211870064,0.205854542,0.012889512,0.013443067,0.009258108,0.01478657,FALSE,FALSE,0,0,0,0,0,0,1.029662327,0.942935045,0.184237422,0.167403467,0.104889587,0.092516984,0.300132882,2.544541133
1,5,2,1,"D:\combine0802\control\new(2)(1) -new\ch1\1.-3\Path from Track_1 to Track_1.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\1.-3_(+-1)_NewResult_0908XYnew.csv",0.22408061,0.230137721,0.204577413,0.19277782,0.021022638,0.02249969,0.013629067,0.013342513,TRUE,TRUE,0.204434315,0.264108447,1,1,0,5,0.45813283,0.509986566,0.163434404,0.157582032,0.083525613,0.092713348,0.352522178,2.791553002
1,5,2,2,"D:\combine0802\control\new(2)(1) -new\ch1\1.-3\Path from Track_3 to Track_3.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\1.-3_(+-1)_NewResult_0908XYnew.csv",0.209269387,0.204378063,0.208463098,0.189174011,0.018056419,0.018529666,0.011461262,0.012906108,TRUE,FALSE,-0.359898622,0,2,0,0,0,0.509986566,0.45813283,0.157582032,0.163434404,0.092713348,0.083525613,0.352522178,2.791553002
1,5,3,1,"D:\combine0802\control\new(2)(1) -new\ch1\13.-7\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\13.-7_(+-1)_NewResult_0908XYnew.csv",0.192845114,0.192874889,0.209158,0.189985484,0.011947034,0.009212669,0.008630506,0.011147921,FALSE,FALSE,0,0,0,0,0,0,0.595774838,0.406863802,0.155915477,0.13599607,0.077863226,0.074543104,0.287214034,2.432583209
1,5,4,1,"D:\combine0802\control\new(2)(1) -new\ch1\14.-10\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\14.-10_(+-1)_NewResult_0908XYnew.csv",0.2158792,0.204717483,0.205505125,0.187780866,0.016019476,0.012229143,0.007991235,0.008180932,TRUE,FALSE,-0.405694761,0,8,0,0,0,0.444894243,0.486491533,0.147059627,0.13985625,0.078519333,0.094854298,0.170349005,2.988554102
1,5,4,2,"D:\combine0802\control\new(2)(1) -new\ch1\14.-10\Path from Track_14 to Track_14.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\14.-10_(+-1)_NewResult_0908XYnew.csv",0.213847502,0.221170121,0.205693159,0.196872014,0.025669625,0.026373507,0.010113091,0.019480243,TRUE,TRUE,-0.08493672,0.22779977,2,0,0,4,0.486491533,0.444894243,0.13985625,0.147059627,0.094854298,0.078519333,0.170349005,2.988554102
1,5,6,1,"D:\combine0802\control\new(2)(1) -new\ch1\6.-4\Path from Track_4 to Track_4.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\6.-4_(+-1)_NewResult_0908XYnew.csv",0.217599374,0.211889527,0.200429714,0.180235926,0.022531852,0.020814916,0.009192907,0.008123032,TRUE,TRUE,0.367003369,0.252929428,1,1,0,1,0.443225102,0.498022381,0.171998016,0.164279377,0.103765682,0.099525511,0.223506126,2.892366977
1,5,6,2,"D:\combine0802\control\new(2)(1) -new\ch1\6.-4\Path from Track_6 to Track_6.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\6.-4_(+-1)_NewResult_0908XYnew.csv",0.200403247,0.200970662,0.202471967,0.189032937,0.017606749,0.015716156,0.010097317,0.010056686,FALSE,FALSE,0,0,0,0,0,0,0.498022381,0.443225102,0.164279377,0.171998016,0.099525511,0.103765682,0.223506126,2.892366977
1,6,2,1,"D:\combine0802\control\new(3)\ch1\10.-2\Path from Track_2 to Track_2.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-2_(+-1)_NewResult_0908XYnew.csv",0.216850473,0.228900415,0.256956178,0.221462118,0.023474688,0.024192169,0.023649663,0.014995027,FALSE,TRUE,0,-0.184941481,0,0,1,0,2.104712142,2.099079002,0.213642372,0.205309586,0.135076362,0.121616885,0.654086186,3.051885252
1,6,3,2,"D:\combine0802\control\new(3)\ch1\11.-1\Path from Track_1 to Track_1.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\11.-1_(+-1)_NewResult_0908XYnew.csv",0.278941857,0.25423156,0.24175431,0.210206021,0.042014661,0.031872616,0.015989156,0.013143909,TRUE,TRUE,0.362417864,0.258421832,1,21,2,4,2.496312846,2.588057538,0.234063885,0.297683142,0.11131786,0.156767929,0.643753569,2.615191019
1,6,4,1,"D:\combine0802\control\new(3)\ch1\5.-7\Path from Track_5 to Track_5.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\5.-7_(+-1)_NewResult_0908XYnew.csv",0.214118236,0.200515762,0.237060077,0.204703891,0.01943362,0.015616452,0.02378602,0.016224388,FALSE,FALSE,0,0,0,0,0,0,1.916357708,1.89787949,0.231727936,0.206336635,0.128752992,0.120474436,0.340421555,2.823015247
1,6,4,2,"D:\combine0802\control\new(3)\ch1\5.-7\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\5.-7_(+-1)_NewResult_0908XYnew.csv",0.231406192,0.212790843,0.254635599,0.219260345,0.024633182,0.01590221,0.022102204,0.013238435,TRUE,TRUE,0.283079521,0.248106881,0,3,0,1,1.89787949,1.916357708,0.206336635,0.231727936,0.120474436,0.128752992,0.340421555,2.823015247
1,7,2,1,"D:\combine0802\control\new(3)(1) - new\ch1\9.-0\Path from Track_0 to Track_0.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\9.-0_(+-1)_NewResult_0908XYnew.csv",0.209603067,0.218450326,0.220600862,0.196747598,0.02039846,0.023163779,0.018517425,0.01829938,FALSE,TRUE,0,0.213200343,0,0,0,2,0.878509052,0.540265766,0.168923885,0.141294597,0.09441824,0.083376162,0.180304019,2.581704143
