condition,Cell index,KT pairs,KT,path,ch1meanxch2meanxch1meanych2meanych1SDx,,,,,ch2SDx,ch1SDy,ch2SDy,ch1tail,ch2tail,ch1maxtail,ch2maxtailch1lefttailcount,ch1lefttailcount,ch1righttailcount,ch2lefttailcount,ch2righttailcount,sdxymovementdata,sistersdxymovementdata,meanspeeddata,meanspeedsisterdata,sdspeeddata,sdspeedsisterdata,sdkkdistance,meankkdistance
2,4,2,1,"D:\combine0802\tsa\new (2)\ch1\2.-15\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\2.-15_(+-1)_NewResult_0908XYnew.csv",0.223337593,0.227144235,0.202313524,0.193612171,0.020321333,0.023711835,0.01298197,0.014331562,TRUE,TRUE,-0.358858393,-0.199903529,1,0,1,0,0.913114056,0.855126189,0.152442844,0.135733966,0.065855488,0.088037749,0.326532661,2.398870382
2,4,2,2,"D:\combine0802\tsa\new (2)\ch1\2.-15\Path from Track_2 to Track_2.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\2.-15_(+-1)_NewResult_0908XYnew.csv",0.217781583,0.221946341,0.212918754,0.203438426,0.022902464,0.029056557,0.014542346,0.016297216,FALSE,TRUE,0,0.233621931,0,0,0,2,0.855126189,0.913114056,0.135733966,0.152442844,0.088037749,0.065855488,0.326532661,2.398870382
2,4,4,1,"D:\combine0802\tsa\new (2)\ch1\8.-14\Path from Track_14 to Track_14.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\8.-14_(+-1)_NewResult_0908XYnew.csv",0.213409889,0.208341436,0.190014804,0.185199412,0.017713399,0.017416432,0.012769855,0.014858772,FALSE,FALSE,0,0,0,0,0,0,0.778163341,0.691222649,0.153504824,0.156504861,0.091871658,0.091847933,0.272692821,2.336446764
2,4,4,2,"D:\combine0802\tsa\new (2)\ch1\8.-14\Path from Track_8 to Track_8.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\8.-14_(+-1)_NewResult_0908XYnew.csv",0.263226576,0.265568709,0.191923685,0.17814471,0.068205511,0.062853646,0.008808422,0.015965137,TRUE,TRUE,-0.445309073,0.322974308,11,6,7,10,0.691222649,0.778163341,0.156504861,0.153504824,0.091847933,0.091871658,0.272692821,2.336446764
2,5,3,2,"D:\combine0802\tsa\new (3)\ch1\7.-3\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-3_(+-1)_NewResult_0908XYnew.csv",0.220870804,0.198440419,0.260072424,0.223282977,0.02543611,0.018785139,0.019761187,0.018605337,FALSE,FALSE,0,0,0,0,0,0,0.687929857,0.381305155,0.231093406,0.140078055,0.175474224,0.084088476,0.555482409,2.349898492
2,6,1,1,"D:\combine0802\tsa\new (5)\ch1\14.-3\Path from Track_14 to Track_14.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\14.-3_(+-1)_NewResult_0908XYnew.csv",0.229226153,0.233572417,0.199102836,0.180435238,0.015552269,0.025963196,0.009933442,0.011292819,TRUE,TRUE,0.214368265,0.231624792,0,2,1,4,1.258360462,1.162323842,0.239836376,0.238701463,0.11089191,0.147207129,0.625083497,4.098165862
2,6,1,2,"D:\combine0802\tsa\new (5)\ch1\14.-3\Path from Track_3 to Track_3.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\14.-3_(+-1)_NewResult_0908XYnew.csv",0.210456235,0.213311666,0.217983779,0.207243048,0.012901492,0.02315283,0.012194441,0.016922355,TRUE,TRUE,0.202502693,0.265210918,0,1,0,4,1.162323842,1.258360462,0.238701463,0.239836376,0.147207129,0.11089191,0.625083497,4.098165862
2,6,2,1,"D:\combine0802\tsa\new (5)\ch1\15.-12\Path from Track_12 to Track_12.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\15.-12_(+-1)_NewResult_0908XYnew.csv",0.220641583,0.204759627,0.225610532,0.207378783,0.020860814,0.017961877,0.022229616,0.015618208,FALSE,FALSE,0,0,0,0,0,0,1.148090361,1.033468668,0.232047501,0.177331286,0.145771861,0.088520068,0.370019419,2.06742408
2,6,2,2,"D:\combine0802\tsa\new (5)\ch1\15.-12\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\15.-12_(+-1)_NewResult_0908XYnew.csv",0.282904668,0.269212208,0.211916414,0.213610004,0.060038388,0.06028476,0.011363605,0.012896841,TRUE,TRUE,0.314367423,-0.375558084,4,14,4,20,1.033468668,1.148090361,0.177331286,0.232047501,0.088520068,0.145771861,0.370019419,2.06742408
2,6,4,1,"D:\combine0802\tsa\new (5)\ch1\7.-10\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-10_(+-1)_NewResult_0908XYnew.csv",0.203084737,0.187104323,0.26179264,0.243474009,0.017400261,0.01463924,0.022106552,0.023486336,FALSE,FALSE,0,0,0,0,0,0,0.984956378,1.013473194,0.174161004,0.164951904,0.07498725,0.084900986,0.397783141,3.003228145
